,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
1,15,45.92,1306.53,47.81,50.00,0.00,50.00,50.00,0.00,78.00,46.01,1306.53,46.33,46.33,836.18,-2552421.08,3.96,-1907337.81,-4.93,1598128.34,26.44,1804393.87,4.66,46.07,46.33,470.35,-391459.17,3.96,-292524.18,-1.34,245101.41,26.44,276735.90,1.27,46.26,25.00,50.00,0.00,50.00,50.00,0.00,50.00,46.33,470.35,46.33
1,16,46.14,1257.21,48.03,50.00,0.00,50.00,50.00,0.00,78.00,47.81,1257.21,48.13,48.13,804.61,-2544404.34,4.06,-1916982.80,-5.15,1459089.11,25.88,1651437.01,4.43,47.42,48.13,452.59,-390229.66,4.06,-294003.41,-1.40,223777.27,25.88,253277.24,1.21,47.94,25.00,50.00,0.00,50.00,50.00,0.00,50.00,48.13,452.59,48.13
1,17,47.61,1122.71,49.17,50.00,0.00,50.00,50.00,0.00,78.00,48.03,1122.71,48.35,48.35,718.54,-2459741.84,4.07,-1854942.00,-5.58,1142803.29,25.82,1293839.35,3.89,46.66,48.35,404.18,-377245.16,4.07,-284488.35,-1.52,175269.21,25.82,198433.28,1.06,47.89,25.00,50.00,0.00,50.00,50.00,0.00,50.00,48.35,404.18,48.35
1,18,47.10,1029.16,48.94,50.00,0.00,50.00,50.00,0.00,78.00,49.17,1029.16,49.48,49.48,658.66,-2541549.44,4.13,-1926056.38,-6.32,782101.51,25.47,886884.78,2.91,46.07,49.48,370.50,-389791.81,4.13,-295395.01,-1.72,119949.18,25.47,136019.56,0.79,48.55,25.00,50.00,0.00,50.00,50.00,0.00,50.00,49.48,370.50,49.48
1,19,46.97,1200.73,48.66,50.00,0.00,50.00,50.00,0.00,78.00,48.94,1200.73,49.25,49.25,768.47,-2817048.72,4.12,-2132767.38,-5.99,1018095.02,25.54,1154121.32,3.24,46.50,49.25,432.26,-432044.53,4.12,-327097.81,-1.63,156142.98,25.54,177005.03,0.88,48.50,27.00,50.00,0.00,50.00,50.00,0.00,50.00,49.25,432.26,49.25
1,20,47.22,1242.15,48.80,50.00,0.00,50.00,50.00,0.00,78.00,48.66,1242.15,48.98,48.98,794.98,-2988132.26,4.10,-2259657.49,-6.14,970478.81,25.62,1099719.93,2.99,45.83,48.98,447.17,-458283.24,4.10,-346558.67,-1.67,148840.19,25.62,168661.61,0.81,48.12,28.00,50.00,0.00,50.00,50.00,0.00,50.00,48.98,447.17,48.98
1,21,46.66,1193.37,48.46,50.00,0.00,50.00,50.00,0.00,78.00,48.80,1193.37,49.11,49.11,763.76,-3038699.18,4.11,-2299180.49,-6.50,774491.79,25.58,877794.00,2.48,45.09,49.11,429.61,-466038.57,4.11,-352620.23,-1.77,118782.09,25.58,134625.32,0.68,48.02,30.00,50.00,0.00,50.00,50.00,0.00,50.00,49.11,429.61,49.11
1,22,46.14,1197.73,48.11,50.00,0.00,50.00,50.00,0.00,78.00,48.46,1197.73,48.78,48.78,766.55,-3172640.41,4.09,-2397090.62,-6.75,653551.12,25.68,740375.48,2.09,44.11,48.78,431.18,-486580.84,4.09,-367636.49,-1.84,100233.69,25.68,113549.75,0.57,47.51,30.00,50.00,0.00,50.00,50.00,0.00,50.00,48.78,431.18,48.78
1,23,45.33,570.00,48.67,50.00,0.00,50.00,50.00,0.00,78.00,48.11,570.00,48.40,48.40,364.80,-344546.70,4.07,-259893.10,-1.54,596740.05,25.80,675659.10,4.00,50.86,48.40,205.20,-52842.36,4.07,-39859.23,-0.42,91520.70,25.80,103624.34,1.09,49.07,32.00,50.00,0.00,50.00,50.00,0.00,50.00,48.40,205.20,48.40
1,24,50.22,570.00,50.90,50.00,0.00,50.00,50.00,0.00,78.00,48.67,570.00,48.96,48.96,364.80,-383688.40,4.10,-290118.48,-1.72,422387.49,25.63,478621.27,2.83,50.07,48.96,205.20,-58845.44,4.10,-44494.83,-0.47,64780.63,25.63,73405.09,0.77,49.26,32.00,50.00,0.00,50.00,50.00,0.00,50.00,48.96,205.20,48.96
