,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
82,1956,50.48,1056.29,51.07,50.00,0.00,50.00,50.00,0.00,78.00,50.72,1056.29,51.03,51.03,676.03,-1672753.50,4.21,-1275824.92,-4.08,1731787.03,24.99,1968233.88,6.29,53.24,51.03,380.27,-256546.50,4.21,-195670.45,-1.11,265600.35,24.99,301863.68,1.71,51.63,42.00,50.00,0.00,50.00,50.00,0.00,50.00,51.03,380.27,51.03
82,1957,52.66,1048.00,52.46,50.00,0.00,50.00,50.00,0.00,78.00,51.07,1048.00,51.38,51.38,670.72,-1624883.79,4.23,-1241053.18,-4.00,1754923.95,24.88,1995561.88,6.43,53.81,51.38,377.28,-249204.83,4.23,-190337.58,-1.09,269148.80,24.88,306054.91,1.75,52.04,43.00,50.00,0.00,50.00,50.00,0.00,50.00,51.38,377.28,51.38
82,1958,53.17,1037.21,52.78,50.00,0.00,50.00,50.00,0.00,78.00,52.46,1037.21,52.78,52.78,663.81,-1589551.61,4.31,-1220730.40,-3.97,1758096.40,24.45,2003402.17,6.52,55.32,52.78,373.40,-243786.01,4.31,-187220.72,-1.08,269635.36,24.45,307257.36,1.78,53.47,46.00,50.00,0.00,50.00,50.00,0.00,50.00,52.78,373.40,52.78
82,1959,54.66,1045.58,53.73,50.00,0.00,50.00,50.00,0.00,78.00,52.78,1045.58,53.10,53.10,669.17,-1585328.22,4.33,-1218976.41,-3.93,1787284.08,24.36,2037669.61,6.58,55.74,53.10,376.41,-243138.28,4.33,-186951.72,-1.07,274111.81,24.36,312512.88,1.79,53.82,44.00,50.00,0.00,50.00,50.00,0.00,50.00,53.10,376.41,53.10
82,1960,55.05,1034.14,53.97,50.00,0.00,50.00,50.00,0.00,78.00,53.73,1034.14,54.04,54.04,661.85,-1597765.81,4.38,-1232915.21,-4.02,1740725.85,24.06,1987541.33,6.49,56.50,54.04,372.29,-245045.81,4.38,-189089.48,-1.10,266971.27,24.06,304824.82,1.77,54.71,44.00,50.00,0.00,50.00,50.00,0.00,50.00,54.04,372.29,54.04
82,1961,55.86,985.82,54.49,50.00,0.00,50.00,50.00,0.00,78.00,53.97,985.82,54.28,54.28,630.93,-1452924.56,4.39,-1122139.70,-3.84,1741521.02,23.99,1989207.50,6.81,57.25,54.28,354.90,-222831.83,4.39,-172100.08,-1.05,267093.23,23.99,305080.35,1.86,55.09,43.00,50.00,0.00,50.00,50.00,0.00,50.00,54.28,354.90,54.28
82,1962,56.47,974.34,54.89,50.00,0.00,50.00,50.00,0.00,78.00,54.49,974.34,54.80,54.80,623.58,-1502908.39,4.42,-1162928.63,-4.03,1657311.76,23.83,1894588.97,6.56,57.33,54.80,350.76,-230497.73,4.42,-178355.79,-1.10,254178.24,23.83,290568.92,1.79,55.49,42.00,50.00,0.00,50.00,50.00,0.00,50.00,54.80,350.76,54.80
82,1963,56.67,973.43,55.03,50.00,0.00,50.00,50.00,0.00,78.00,54.89,973.43,55.20,55.20,623.00,-1473531.70,4.44,-1141875.12,-3.96,1683981.38,23.71,1926353.66,6.68,57.92,55.20,350.44,-225992.30,4.44,-175126.86,-1.08,258268.50,23.71,295440.60,1.82,55.95,40.00,50.00,0.00,50.00,50.00,0.00,50.00,55.20,350.44,55.20
82,1964,57.21,796.75,54.77,50.00,0.00,50.00,50.00,0.00,78.00,55.03,796.75,55.33,55.33,509.92,-1269025.17,4.45,-983838.60,-4.17,1361779.94,23.67,1558097.42,6.60,57.76,55.33,286.83,-194627.58,4.45,-150889.15,-1.14,208853.18,23.67,238961.95,1.80,55.99,39.00,50.00,0.00,50.00,50.00,0.00,50.00,55.33,286.83,55.33
82,1965,57.13,730.58,54.48,50.00,0.00,50.00,50.00,0.00,78.00,54.77,730.58,55.07,55.07,467.57,-1301678.35,4.44,-1008225.73,-4.66,1131839.74,23.75,1294465.70,5.98,56.40,55.07,263.01,-199635.53,4.44,-154629.35,-1.27,173587.76,23.75,198529.34,1.63,55.43,38.00,50.00,0.00,50.00,50.00,0.00,50.00,55.07,263.01,55.07
82,1966,56.05,708.50,53.87,50.00,0.00,50.00,50.00,0.00,78.00,54.48,708.50,54.78,54.78,453.44,-1354758.23,4.42,-1048224.90,-4.99,1012940.98,23.84,1157930.53,5.52,55.30,54.78,255.06,-207776.27,4.42,-160763.93,-1.36,155352.52,23.84,177589.24,1.50,54.92,37.00,50.00,0.00,50.00,50.00,0.00,50.00,54.78,255.06,54.78
82,1967,55.16,570.00,53.14,50.00,0.00,50.00,50.00,0.00,78.00,53.87,570.00,54.16,54.16,364.80,-52693.43,4.39,-40678.81,-0.24,593042.56,24.03,677257.87,4.01,57.93,54.16,205.20,-8081.48,4.39,-6238.82,-0.07,90953.63,24.03,103869.54,1.09,55.19,36.00,50.00,0.00,50.00,50.00,0.00,50.00,54.16,205.20,54.16
82,1968,56.94,570.00,53.82,50.00,0.00,50.00,50.00,0.00,78.00,53.14,570.00,53.43,53.43,364.80,-170738.58,4.35,-131449.49,-0.78,427998.56,24.25,488212.90,2.89,55.54,53.43,205.20,-26185.80,4.35,-20160.12,-0.21,65641.19,24.25,74876.13,0.79,54.01,35.00,50.00,0.00,50.00,50.00,0.00,50.00,53.43,205.20,53.43
83,1969,54.99,570.00,53.08,50.00,0.00,50.00,50.00,0.00,78.00,53.82,570.00,54.11,54.11,364.80,-197102.70,4.38,-152130.08,-0.90,373118.16,24.04,426065.30,2.52,55.73,54.11,205.20,-30229.21,4.38,-23331.85,-0.25,57224.31,24.04,65344.69,0.69,54.55,35.00,50.00,0.00,50.00,50.00,0.00,50.00,54.11,205.20,54.11
83,1970,55.30,570.00,53.19,50.00,0.00,50.00,50.00,0.00,78.00,53.08,570.00,53.36,53.36,364.80,-290179.85,4.34,-223349.09,-1.32,384569.33,24.27,438627.53,2.60,54.64,53.36,205.20,-44504.24,4.34,-34254.56,-0.36,58980.55,24.27,67271.33,0.71,53.71,35.00,50.00,0.00,50.00,50.00,0.00,50.00,53.36,205.20,53.36
83,1971,54.30,570.00,52.76,50.00,0.00,50.00,50.00,0.00,78.00,53.19,570.00,53.48,53.48,364.80,-604800.19,4.35,-465720.32,-2.76,443726.63,24.24,506195.40,3.00,53.72,53.48,205.20,-92756.87,4.35,-71426.50,-0.75,68053.37,24.24,77634.07,0.82,53.55,35.00,50.00,0.00,50.00,50.00,0.00,50.00,53.48,205.20,53.48
83,1972,53.66,570.00,52.47,50.00,0.00,50.00,50.00,0.00,78.00,52.76,570.00,53.05,53.05,364.80,-1297001.07,4.32,-997107.00,-5.90,460953.67,24.37,525493.13,3.11,50.26,53.05,205.20,-198918.18,4.32,-152924.09,-1.61,70695.45,24.37,80593.72,0.85,52.29,35.00,50.00,0.00,50.00,50.00,0.00,50.00,53.05,205.20,53.05
83,1973,50.99,608.02,51.26,50.00,0.00,50.00,50.00,0.00,78.00,52.47,608.02,52.76,52.76,389.13,-1606637.77,4.31,-1233776.81,-6.85,461510.31,24.46,525891.61,2.92,48.83,52.76,218.89,-246406.48,4.31,-189221.62,-1.87,70780.81,24.46,80654.83,0.80,51.69,35.00,50.00,0.00,50.00,50.00,0.00,50.00,52.76,218.89,52.76
83,1974,49.86,684.38,50.73,50.00,0.00,50.00,50.00,0.00,78.00,51.26,684.38,51.56,51.56,438.00,-1836019.93,4.24,-1403332.69,-6.92,459760.33,24.83,522945.37,2.58,47.22,51.56,246.38,-281586.32,4.24,-215226.03,-1.89,70512.42,24.83,80202.98,0.70,50.38,35.00,50.00,0.00,50.00,50.00,0.00,50.00,51.56,246.38,51.56
83,1975,48.36,700.70,49.96,50.00,0.00,50.00,50.00,0.00,78.00,50.73,700.70,51.02,51.02,448.45,-1829033.00,4.21,-1394982.07,-6.72,515427.19,24.99,585794.30,2.82,47.13,51.02,252.25,-280514.75,4.21,-213945.31,-1.83,79049.93,24.99,89841.98,0.77,49.96,36.00,50.00,0.00,50.00,50.00,0.00,50.00,51.02,252.25,51.02
83,1976,48.15,679.12,49.87,50.00,0.00,50.00,50.00,0.00,78.00,49.96,679.12,50.26,50.26,434.64,-1368594.66,4.17,-1040533.46,-5.17,911511.71,25.23,1034787.20,5.14,50.23,50.26,244.48,-209898.34,4.17,-159584.31,-1.41,139796.54,25.23,158703.02,1.40,50.25,36.00,50.00,0.00,50.00,50.00,0.00,50.00,50.26,244.48,50.26
83,1977,50.24,1916.29,50.68,50.00,0.00,50.00,50.00,0.00,78.00,49.87,1916.29,50.20,50.20,1226.43,-4589393.82,4.17,-3488414.33,-6.14,1378961.80,25.25,1565319.67,2.76,46.81,50.20,689.87,-703865.18,4.17,-535010.39,-1.68,211488.32,25.25,240069.62,0.75,49.27,37.00,50.00,0.00,50.00,50.00,0.00,50.00,50.20,689.87,50.20
83,1978,47.70,1157.19,49.20,50.00,0.00,50.00,50.00,0.00,78.00,50.68,1157.19,50.99,50.99,740.60,-2445008.24,4.21,-1864530.69,-5.44,1260331.93,25.00,1432325.17,4.18,49.73,50.99,416.59,-374985.51,4.21,-285958.95,-1.48,193294.32,25.00,219672.54,1.14,50.65,38.00,50.00,0.00,50.00,50.00,0.00,50.00,50.99,416.59,50.99
83,1979,50.06,1018.00,50.81,50.00,0.00,50.00,50.00,0.00,78.00,49.20,1018.00,49.51,49.51,651.52,-1697738.05,4.13,-1286742.76,-4.27,1592652.20,25.46,1806101.15,5.99,51.23,49.51,366.48,-260378.33,4.13,-197344.89,-1.16,244261.55,25.46,276997.74,1.63,49.98,36.00,50.00,0.00,50.00,50.00,0.00,50.00,49.51,366.48,49.51
83,1980,50.78,999.46,51.27,50.00,0.00,50.00,50.00,0.00,78.00,50.81,999.46,51.13,51.13,639.65,-1537034.97,4.22,-1172753.66,-3.96,1698057.55,24.96,1930166.15,6.52,53.68,51.13,359.80,-235731.65,4.22,-179862.63,-1.08,260427.33,24.96,296025.31,1.78,51.82,35.00,50.00,0.00,50.00,50.00,0.00,50.00,51.13,359.80,51.13
83,1981,53.01,990.52,52.66,50.00,0.00,50.00,50.00,0.00,78.00,51.27,990.52,51.58,51.58,633.93,-1487259.66,4.24,-1136846.10,-3.87,1721190.88,24.82,1957788.48,6.67,54.38,51.58,356.59,-228097.72,4.24,-174355.57,-1.06,263975.24,24.82,300261.69,1.82,52.34,35.00,50.00,0.00,50.00,50.00,0.00,50.00,51.58,356.59,51.58
83,1982,53.64,976.21,53.05,50.00,0.00,50.00,50.00,0.00,78.00,52.66,976.21,52.97,52.97,624.78,-1453721.35,4.32,-1117257.40,-3.86,1712079.85,24.39,1951557.08,6.75,55.86,52.97,351.44,-222954.03,4.32,-171351.30,-1.05,262577.90,24.39,299305.99,1.84,53.76,35.00,50.00,0.00,50.00,50.00,0.00,50.00,52.97,351.44,52.97
83,1983,55.10,983.23,53.96,50.00,0.00,50.00,50.00,0.00,78.00,53.05,983.23,53.36,53.36,629.27,-1446887.12,4.34,-1113635.49,-3.82,1739844.08,24.27,1984394.63,6.81,56.35,53.36,353.96,-221905.88,4.34,-170795.81,-1.04,266836.04,24.27,304342.22,1.86,54.17,35.00,50.00,0.00,50.00,50.00,0.00,50.00,53.36,353.96,53.36
83,1984,55.56,971.40,54.27,50.00,0.00,50.00,50.00,0.00,78.00,53.96,971.40,54.27,54.27,621.69,-1458461.92,4.39,-1126379.36,-3.91,1692985.77,23.99,1933741.77,6.72,57.08,54.27,349.70,-223681.08,4.39,-172750.31,-1.07,259649.48,23.99,296573.70,1.83,55.04,35.00,50.00,0.00,50.00,50.00,0.00,50.00,54.27,349.70,54.27
83,1985,56.34,976.11,54.81,50.00,0.00,50.00,50.00,0.00,78.00,54.27,976.11,54.58,54.58,624.71,-1446077.10,4.41,-1118068.42,-3.87,1719430.18,23.90,1964911.15,6.79,57.51,54.58,351.40,-221781.65,4.41,-171475.68,-1.05,263705.20,23.90,301354.08,1.85,55.38,35.00,50.00,0.00,50.00,50.00,0.00,50.00,54.58,351.40,54.58
83,1986,56.74,966.72,55.07,50.00,0.00,50.00,50.00,0.00,78.00,54.81,966.72,55.12,55.12,618.70,-1487801.00,4.44,-1152572.85,-4.02,1649707.41,23.73,1886878.79,6.59,57.68,55.12,348.02,-228180.75,4.44,-176767.55,-1.10,253011.98,23.73,289386.43,1.80,55.82,35.00,50.00,0.00,50.00,50.00,0.00,50.00,55.12,348.02,55.12
83,1987,57.01,965.30,55.25,50.00,0.00,50.00,50.00,0.00,78.00,55.07,965.30,55.38,55.38,617.79,-1456847.74,4.45,-1129649.57,-3.95,1676421.67,23.65,1918252.77,6.71,58.14,55.38,347.51,-223433.51,4.45,-173251.86,-1.08,257109.08,23.65,294198.18,1.83,56.13,34.00,50.00,0.00,50.00,50.00,0.00,50.00,55.38,347.51,55.38
83,1988,57.41,789.80,54.86,50.00,0.00,50.00,50.00,0.00,78.00,55.25,789.80,55.55,55.55,505.47,-1251703.72,4.46,-971185.67,-4.15,1358356.06,23.60,1554753.31,6.64,58.05,55.55,284.33,-191971.03,4.46,-148948.60,-1.13,208328.06,23.60,238449.08,1.81,56.23,34.00,50.00,0.00,50.00,50.00,0.00,50.00,55.55,284.33,55.55
83,1989,57.39,723.36,54.59,50.00,0.00,50.00,50.00,0.00,78.00,54.86,723.36,55.16,55.16,462.95,-1283061.45,4.44,-994108.10,-4.64,1128935.31,23.72,1291322.07,6.02,56.54,55.16,260.41,-196780.30,4.44,-152464.16,-1.26,173142.31,23.72,198047.21,1.64,55.54,34.00,50.00,0.00,50.00,50.00,0.00,50.00,55.16,260.41,55.16
83,1990,56.18,704.04,53.92,50.00,0.00,50.00,50.00,0.00,78.00,54.59,704.04,54.89,54.89,450.58,-1342998.86,4.43,-1039531.91,-4.98,1011393.67,23.80,1156363.44,5.54,55.45,54.89,253.45,-205972.76,4.43,-159430.71,-1.36,155115.21,23.80,177348.90,1.51,55.04,34.00,50.00,0.00,50.00,50.00,0.00,50.00,54.89,253.45,54.89
83,1991,55.30,570.00,53.19,50.00,0.00,50.00,50.00,0.00,78.00,53.92,570.00,54.21,54.21,364.80,-54716.45,4.39,-42248.55,-0.25,593042.56,24.01,677313.23,4.01,57.97,54.21,205.20,-8391.74,4.39,-6479.57,-0.07,90953.63,24.01,103878.03,1.09,55.24,34.00,50.00,0.00,50.00,50.00,0.00,50.00,54.21,205.20,54.21
83,1992,56.99,570.00,53.83,50.00,0.00,50.00,50.00,0.00,78.00,53.19,570.00,53.48,53.48,364.80,-172284.26,4.35,-132665.20,-0.79,427998.61,24.24,488252.29,2.89,55.59,53.48,205.20,-26422.86,4.35,-20346.57,-0.21,65641.20,24.24,74882.17,0.79,54.06,34.00,50.00,0.00,50.00,50.00,0.00,50.00,53.48,205.20,53.48
84,1993,55.04,570.00,53.09,50.00,0.00,50.00,50.00,0.00,78.00,53.83,570.00,54.12,54.12,364.80,-197102.70,4.38,-152139.62,-0.90,373118.16,24.04,426076.80,2.52,55.74,54.12,205.20,-30229.21,4.38,-23333.32,-0.25,57224.31,24.04,65346.46,0.69,54.57,34.00,50.00,0.00,50.00,50.00,0.00,50.00,54.12,205.20,54.12
84,1994,55.32,570.00,53.20,50.00,0.00,50.00,50.00,0.00,78.00,53.09,570.00,53.38,53.38,364.80,-290179.85,4.34,-223364.60,-1.32,384569.33,24.27,438640.14,2.60,54.66,53.38,205.20,-44504.24,4.34,-34256.93,-0.36,58980.55,24.27,67273.27,0.71,53.73,34.00,50.00,0.00,50.00,50.00,0.00,50.00,53.38,205.20,53.38
84,1995,54.32,570.00,52.77,50.00,0.00,50.00,50.00,0.00,78.00,53.20,570.00,53.49,53.49,364.80,-604800.19,4.35,-465731.62,-2.76,443726.63,24.23,506200.52,3.00,53.73,53.49,205.20,-92756.87,4.35,-71428.23,-0.75,68053.37,24.23,77634.85,0.82,53.55,33.00,50.00,0.00,50.00,50.00,0.00,50.00,53.49,205.20,53.49
84,1996,53.67,570.00,52.47,50.00,0.00,50.00,50.00,0.00,78.00,52.77,570.00,53.06,53.06,364.80,-1297001.07,4.33,-997138.86,-5.90,460953.67,24.37,525499.96,3.11,50.27,53.06,205.20,-198918.18,4.33,-152928.98,-1.61,70695.45,24.37,80594.77,0.85,52.30,33.00,50.00,0.00,50.00,50.00,0.00,50.00,53.06,205.20,53.06
84,1997,51.00,608.02,51.27,50.00,0.00,50.00,50.00,0.00,78.00,52.47,608.02,52.76,52.76,389.13,-1606637.77,4.31,-1233790.70,-6.85,461510.31,24.46,525893.98,2.92,48.83,52.76,218.89,-246406.48,4.31,-189223.75,-1.87,70780.81,24.46,80655.20,0.80,51.69,33.00,50.00,0.00,50.00,50.00,0.00,50.00,52.76,218.89,52.76
84,1998,49.86,684.38,50.73,50.00,0.00,50.00,50.00,0.00,78.00,51.27,684.38,51.57,51.57,438.00,-1836019.93,4.24,-1403354.51,-6.92,459760.33,24.83,522948.43,2.58,47.22,51.57,246.38,-281586.32,4.24,-215229.38,-1.89,70512.42,24.83,80203.44,0.70,50.38,33.00,50.00,0.00,50.00,50.00,0.00,50.00,51.57,246.38,51.57
84,1999,48.36,700.70,49.96,50.00,0.00,50.00,50.00,0.00,78.00,50.73,700.70,51.03,51.03,448.45,-1829033.00,4.21,-1394990.26,-6.72,515427.19,24.99,585795.56,2.82,47.13,51.03,252.25,-280514.75,4.21,-213946.57,-1.83,79049.93,24.99,89842.17,0.77,49.96,33.00,50.00,0.00,50.00,50.00,0.00,50.00,51.03,252.25,51.03
84,2000,48.15,679.12,49.87,50.00,0.00,50.00,50.00,0.00,78.00,49.96,679.12,50.26,50.26,434.64,-1368594.66,4.17,-1040541.88,-5.17,911511.71,25.23,1034790.14,5.14,50.23,50.26,244.48,-209898.34,4.17,-159585.61,-1.41,139796.54,25.23,158703.48,1.40,50.25,33.00,50.00,0.00,50.00,50.00,0.00,50.00,50.26,244.48,50.26
84,2001,50.24,1916.29,50.68,50.00,0.00,50.00,50.00,0.00,78.00,49.87,1916.29,50.20,50.20,1226.43,-4589393.82,4.17,-3488424.66,-6.14,1378961.80,25.25,1565321.29,2.76,46.81,50.20,689.87,-703865.18,4.17,-535011.97,-1.68,211488.32,25.25,240069.86,0.75,49.27,33.00,50.00,0.00,50.00,50.00,0.00,50.00,50.20,689.87,50.20
84,2002,47.70,1157.19,49.20,50.00,0.00,50.00,50.00,0.00,78.00,50.68,1157.19,50.99,50.99,740.60,-2445008.24,4.21,-1864542.43,-5.44,1260331.93,25.00,1432328.46,4.18,49.73,50.99,416.59,-374985.51,4.21,-285960.75,-1.48,193294.32,25.00,219673.05,1.14,50.65,33.00,50.00,0.00,50.00,50.00,0.00,50.00,50.99,416.59,50.99
84,2003,50.06,1018.00,50.81,50.00,0.00,50.00,50.00,0.00,78.00,49.20,1018.00,49.51,49.51,651.52,-1697738.05,4.13,-1286745.31,-4.27,1592652.20,25.46,1806102.35,5.99,51.23,49.51,366.48,-260378.33,4.13,-197345.28,-1.16,244261.55,25.46,276997.92,1.63,49.98,33.00,50.00,0.00,50.00,50.00,0.00,50.00,49.51,366.48,49.51
84,2004,50.78,999.46,51.27,50.00,0.00,50.00,50.00,0.00,78.00,50.81,999.46,51.13,51.13,639.65,-1537034.97,4.22,-1172758.24,-3.96,1698057.55,24.96,1930168.91,6.52,53.68,51.13,359.80,-235731.65,4.22,-179863.34,-1.08,260427.33,24.96,296025.74,1.78,51.82,33.00,50.00,0.00,50.00,50.00,0.00,50.00,51.13,359.80,51.13
84,2005,53.01,990.52,52.66,50.00,0.00,50.00,50.00,0.00,78.00,51.27,990.52,51.58,51.58,633.93,-1487259.66,4.24,-1136847.41,-3.87,1721190.88,24.82,1957789.33,6.67,54.38,51.58,356.59,-228097.72,4.24,-174355.77,-1.06,263975.24,24.82,300261.82,1.82,52.34,33.00,50.00,0.00,50.00,50.00,0.00,50.00,51.58,356.59,51.58
84,2006,53.65,976.21,53.05,50.00,0.00,50.00,50.00,0.00,78.00,52.66,976.21,52.97,52.97,624.78,-1453721.35,4.32,-1117259.96,-3.86,1712079.85,24.39,1951558.89,6.75,55.86,52.97,351.44,-222954.03,4.32,-171351.69,-1.05,262577.90,24.39,299306.27,1.84,53.76,35.00,50.00,0.00,50.00,50.00,0.00,50.00,52.97,351.44,52.97
84,2007,55.10,983.23,53.96,50.00,0.00,50.00,50.00,0.00,78.00,53.05,983.23,53.36,53.36,629.27,-1446887.12,4.34,-1113636.25,-3.82,1739844.08,24.27,1984395.19,6.81,56.35,53.36,353.96,-221905.88,4.34,-170795.93,-1.04,266836.04,24.27,304342.30,1.86,54.17,33.00,50.00,0.00,50.00,50.00,0.00,50.00,53.36,353.96,53.36
84,2008,55.56,971.40,54.27,50.00,0.00,50.00,50.00,0.00,78.00,53.96,971.40,54.27,54.27,621.69,-1458461.92,4.39,-1126381.07,-3.91,1692985.77,23.99,1933743.04,6.72,57.08,54.27,349.70,-223681.08,4.39,-172750.57,-1.07,259649.48,23.99,296573.89,1.83,55.04,33.00,50.00,0.00,50.00,50.00,0.00,50.00,54.27,349.70,54.27
84,2009,56.34,976.11,54.81,50.00,0.00,50.00,50.00,0.00,78.00,54.27,976.11,54.58,54.58,624.71,-1446077.10,4.41,-1118068.91,-3.87,1719430.18,23.90,1964911.54,6.79,57.51,54.58,351.40,-221781.65,4.41,-171475.76,-1.05,263705.20,23.90,301354.14,1.85,55.38,32.00,50.00,0.00,50.00,50.00,0.00,50.00,54.58,351.40,54.58
84,2010,56.74,966.72,55.07,50.00,0.00,50.00,50.00,0.00,78.00,54.81,966.72,55.12,55.12,618.70,-1487801.00,4.44,-1152574.01,-4.02,1649707.41,23.73,1886879.65,6.59,57.68,55.12,348.02,-228180.75,4.44,-176767.73,-1.10,253011.98,23.73,289386.56,1.80,55.82,31.00,50.00,0.00,50.00,50.00,0.00,50.00,55.12,348.02,55.12
84,2011,57.01,965.30,55.25,50.00,0.00,50.00,50.00,0.00,78.00,55.07,965.30,55.38,55.38,617.79,-1456847.74,4.45,-1129649.91,-3.95,1676421.67,23.65,1918253.04,6.71,58.14,55.38,347.51,-223433.51,4.45,-173251.91,-1.08,257109.08,23.65,294198.22,1.83,56.13,30.00,50.00,0.00,50.00,50.00,0.00,50.00,55.38,347.51,55.38
84,2012,57.41,789.80,54.86,50.00,0.00,50.00,50.00,0.00,78.00,55.25,789.80,55.55,55.55,505.47,-1251703.72,4.46,-971186.33,-4.15,1358356.06,23.60,1554753.80,6.64,58.05,55.55,284.33,-191971.03,4.46,-148948.70,-1.13,208328.06,23.60,238449.15,1.81,56.23,29.00,50.00,0.00,50.00,50.00,0.00,50.00,55.55,284.33,55.55
84,2013,57.40,723.36,54.59,50.00,0.00,50.00,50.00,0.00,78.00,54.86,723.36,55.16,55.16,462.95,-1283061.45,4.44,-994108.27,-4.64,1128935.31,23.72,1291322.17,6.02,56.54,55.16,260.41,-196780.30,4.44,-152464.19,-1.26,173142.31,23.72,198047.22,1.64,55.54,28.00,50.00,0.00,50.00,50.00,0.00,50.00,55.16,260.41,55.16
84,2014,56.18,704.04,53.92,50.00,0.00,50.00,50.00,0.00,78.00,54.59,704.04,54.89,54.89,450.58,-1342998.86,4.43,-1039532.27,-4.98,1011393.67,23.80,1156363.62,5.54,55.45,54.89,253.45,-205972.76,4.43,-159430.76,-1.36,155115.21,23.80,177348.93,1.51,55.04,27.00,50.00,0.00,50.00,50.00,0.00,50.00,54.89,253.45,54.89
84,2015,55.30,570.00,53.19,50.00,0.00,50.00,50.00,0.00,78.00,53.92,570.00,54.21,54.21,364.80,-54716.45,4.39,-42248.55,-0.25,593042.56,24.01,677313.25,4.01,57.97,54.21,205.20,-8391.74,4.39,-6479.57,-0.07,90953.63,24.01,103878.04,1.09,55.24,25.00,50.00,0.00,50.00,50.00,0.00,50.00,54.21,205.20,54.21
84,2016,56.99,570.00,53.83,50.00,0.00,50.00,50.00,0.00,78.00,53.19,570.00,53.48,53.48,364.80,-172284.26,4.35,-132665.22,-0.79,427998.61,24.24,488252.31,2.89,55.59,53.48,205.20,-26422.86,4.35,-20346.57,-0.21,65641.20,24.24,74882.18,0.79,54.06,24.00,50.00,0.00,50.00,50.00,0.00,50.00,53.48,205.20,53.48
85,2017,55.04,570.00,53.09,50.00,0.00,50.00,50.00,0.00,78.00,53.83,570.00,54.12,54.12,364.80,-197102.70,4.38,-152139.62,-0.90,373118.16,24.04,426076.80,2.52,55.74,54.12,205.20,-30229.21,4.38,-23333.32,-0.25,57224.31,24.04,65346.46,0.69,54.57,23.00,50.00,0.00,50.00,50.00,0.00,50.00,54.12,205.20,54.12
85,2018,55.32,570.00,53.20,50.00,0.00,50.00,50.00,0.00,78.00,53.09,570.00,53.38,53.38,364.80,-290179.85,4.34,-223364.61,-1.32,384569.33,24.27,438640.15,2.60,54.66,53.38,205.20,-44504.24,4.34,-34256.94,-0.36,58980.55,24.27,67273.27,0.71,53.73,21.00,50.00,0.00,50.00,50.00,0.00,50.00,53.38,205.20,53.38
85,2019,54.32,570.00,52.77,50.00,0.00,50.00,50.00,0.00,78.00,53.20,570.00,53.49,53.49,364.80,-604800.19,4.35,-465731.62,-2.76,443726.63,24.23,506200.52,3.00,53.73,53.49,205.20,-92756.87,4.35,-71428.23,-0.75,68053.37,24.23,77634.85,0.82,53.55,21.00,50.00,0.00,50.00,50.00,0.00,50.00,53.49,205.20,53.49
85,2020,53.67,570.00,52.47,50.00,0.00,50.00,50.00,0.00,78.00,52.77,570.00,53.06,53.06,364.80,-1297001.07,4.33,-997138.88,-5.90,460953.67,24.37,525499.97,3.11,50.27,53.06,205.20,-198918.18,4.33,-152928.98,-1.61,70695.45,24.37,80594.77,0.85,52.30,20.00,50.00,0.00,50.00,50.00,0.00,50.00,53.06,205.20,53.06
85,2021,51.00,608.02,51.27,50.00,0.00,50.00,50.00,0.00,78.00,52.47,608.02,52.76,52.76,389.13,-1606637.77,4.31,-1233790.71,-6.85,461510.31,24.46,525893.98,2.92,48.83,52.76,218.89,-246406.48,4.31,-189223.75,-1.87,70780.81,24.46,80655.20,0.80,51.69,19.00,50.00,0.00,50.00,50.00,0.00,50.00,52.76,218.89,52.76
85,2022,49.86,684.38,50.73,50.00,0.00,50.00,50.00,0.00,78.00,51.27,684.38,51.57,51.57,438.00,-1836019.93,4.24,-1403354.52,-6.92,459760.33,24.83,522948.43,2.58,47.22,51.57,246.38,-281586.32,4.24,-215229.38,-1.89,70512.42,24.83,80203.44,0.70,50.38,18.00,50.00,0.00,50.00,50.00,0.00,50.00,51.57,246.38,51.57
85,2023,48.36,700.70,49.96,50.00,0.00,50.00,50.00,0.00,78.00,50.73,700.70,51.03,51.03,448.45,-1829033.00,4.21,-1394990.26,-6.72,515427.19,24.99,585795.56,2.82,47.13,51.03,252.25,-280514.75,4.21,-213946.57,-1.83,79049.93,24.99,89842.17,0.77,49.96,19.00,50.00,0.00,50.00,50.00,0.00,50.00,51.03,252.25,51.03
85,2024,48.15,679.12,49.87,50.00,0.00,50.00,50.00,0.00,78.00,49.96,679.12,50.26,50.26,434.64,-1368594.66,4.17,-1040541.89,-5.17,911511.71,25.23,1034790.15,5.14,50.23,50.26,244.48,-209898.34,4.17,-159585.61,-1.41,139796.54,25.23,158703.48,1.40,50.25,20.00,50.00,0.00,50.00,50.00,0.00,50.00,50.26,244.48,50.26
